Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,8200000,1,40.85,18.7,10.9,,4,10,Панельный,Калининский,,
Квартира,13599000,4,94.8,80.8,8.0,2.8,2,5,Кирпичный,Выборгский,Лесная,0.6
Квартира,7700000,4,50.0,44.0,6.0,3.0,5,5,Индивидуальный,Московский,Московская,
Квартира,9390000,2,58.5,28.5,17.6,2.56,18,24,Индивидуальный,Невский,,
Студия,3500000,0,24.1,15.0,2.0,2.5,1,16,Индивидуальный,Всеволожский,,
Квартира,8300000,2,50.6,29.5,8.6,2.57,7,13,Кирпичный,Красносельский,Проспект Ветеранов,4.4
Студия,5600000,0,23.9,17.8,,3.02,24,24,Монолит,Калининский,Лесная,2.8
Квартира,4000000,1,41.9,18.7,10.7,2.55,7,10,600.11 серия,Фрунзенский,Купчино,2.0
Квартира,6230000,1,32.1,15.6,8.6,2.8,1,8,Индивидуальный,Красносельский,,
Квартира,6500000,1,35.0,17.0,9.0,2.64,2,15,Индивидуальный,Невский,,
Квартира,5699000,2,51.0,27.5,10.4,2.6,5,5,Монолит,Ломоносовский,Проспект Ветеранов,21.3
Квартира,5250000,2,44.1,29.5,6.0,,2,3,Кирпичный,Пушкинский,Шушары,18.3
Квартира,6360000,1,39.6,17.41,11.3,2.62,7,18,Индивидуальный,Всеволожский,,
Квартира,13920000,2,56.0,29.0,14.0,2.8,17,20,Монолит,Приморский,Комендантский  проспект,3.4
Студия,6350000,0,24.5,16.2,,2.67,6,19,Монолит,Василеостровский,Приморская,2.2
Квартира,9500000,3,71.0,31.2,30.0,,3,9,137 серия,Красногвардейский,Ладожская,3.7
Квартира,8800000,2,63.18,24.11,24.55,2.7,18,27,Индивидуальный,Выборгский,,
Квартира,9200000,1,38.4,14.0,13.9,2.7,2,8,Кирпично-Монолитный,Московский,Московские ворота,0.2
Студия,3900000,0,18.5,15.0,3.0,3.2,1,4,Индивидуальный,Кронштадтский,,
Квартира,11400000,2,77.4,45.0,12.0,2.64,2,4,Индивидуальный,Невский,,
Квартира,13850000,1,35.48,14.03,10.81,2.75,13,14,Монолит,Приморский,Черная речка,1.0
Квартира,8967000,2,54.35,24.97,12.8,,16,19,Кирпично-Монолитный,Всеволожский,Девяткино,1.5
Квартира,12850000,3,77.5,44.7,14.7,2.5,4,26,Индивидуальный,Выборгский,,
Квартира,5850000,1,32.8,15.3,9.7,2.7,8,23,Кирпично-Монолитный,Невский,Пролетарская,2.0
Квартира,8800000,3,57.4,38.8,6.6,,7,9,504Д серия,Красногвардейский,Ладожская,2.6
Квартира,6150000,1,30.7,15.4,9.2,2.7,7,23,Индивидуальный,Приморский,Комендантский  проспект,
Студия,4350000,0,22.6,16.6,,2.7,4,11,Кирпично-Монолитный,Пушкинский,Звездная,3.2
Квартира,28000000,7,196.1,143.1,12.5,3.5,2,6,Кирпичный,Адмиралтейский,Адмиралтейская,1.9
Квартира,14530000,3,82.0,49.0,13.8,2.7,2,10,Монолит,Всеволожский,Ладожская,8.1
Квартира,24422000,3,93.25,43.56,14.78,2.75,5,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,7670000,1,37.27,17.17,11.19,2.7,4,13,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.0
Квартира,11200000,2,63.8,32.7,14.1,,21,27,Кирпично-Монолитный,Выборгский,Парнас,0.3
Квартира,6250000,3,54.4,34.4,7.0,,2,5,Панельный,Колпинский,Рыбацкое,10.1
Студия,5000000,0,27.0,18.0,,2.7,6,23,Индивидуальный,Пушкинский,Купчино,2.0
Квартира,6250000,1,28.8,16.0,6.2,2.7,2,12,Панельный,Приморский,,
Квартира,3750000,1,30.0,18.0,5.0,2.5,4,5,Кирпичный,Всеволожский,Девяткино,7.1
Квартира,6000000,2,46.0,28.3,7.0,2.5,7,9,Панельный,Выборгский,Озерки,3.3
Квартира,5750000,1,39.01,12.32,15.4,,18,19,Монолит,Всеволожский,,
Квартира,3990000,2,48.0,33.4,6.0,2.55,4,5,Панельный,Ломоносовский,Проспект Ветеранов,32.1
Квартира,5900000,2,42.4,18.2,7.3,2.64,6,9,Индивидуальный,Кировский,,
Квартира,29800000,2,101.2,75.0,15.0,,2,8,Кирпично-Монолитный,Василеостровский,Василеостровская,0.9
Студия,4100000,0,24.0,17.6,,2.61,5,25,Монолит,Пушкинский,Купчино,3.0
Квартира,64990000,6,217.3,129.1,36.8,3.34,4,6,Кирпичный,Центральный,Достоевская,0.2
Квартира,13200000,3,83.4,58.0,12.0,,6,9,Панельный,Петродворцовый,Автово,13.1
Квартира,16500000,4,98.0,71.0,8.5,2.9,5,5,Сталинский,Кировский,Кировский завод,0.9
Квартира,5900000,1,35.0,16.0,11.0,,14,27,Кирпично-Монолитный,Выборгский,Парнас,1.6
Квартира,7670000,1,37.82,15.47,13.5,2.7,2,13,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.0
Квартира,9170000,1,39.0,14.95,11.32,2.75,13,13,Кирпично-Монолитный,Выборгский,Лесная,1.2
Студия,4050000,0,29.0,3.0,16.0,2.65,15,15,Индивидуальный,Всеволожский,,
